"rmarstat","rage","persinc2","rmany","rsect","tunionsa","ansseca","shourswk","ssuper"
2,44,22100,NA,1,1,8,20,2
2,86,6760,NA,NA,2,5,NA,NA
3,26,9880,2,1,2,3,50,NA
6,72,NA,NA,NA,2,5,NA,NA
2,40,27300,46,1,1,4,37,1
5,44,16120,NA,1,2,3,NA,NA
6,76,NA,NA,2,1,4,NA,NA
1,23,NA,NA,1,2,4,NA,NA
6,89,NA,5,2,1,7,NA,NA
6,56,17160,NA,1,1,4,NA,NA
5,50,7800,NA,2,2,8,NA,NA
2,55,260,NA,2,2,7,1,NA
6,67,9880,NA,2,1,8,NA,NA
2,53,NA,NA,NA,1,10,20,1
4,49,24700,NA,2,2,3,NA,NA
2,42,32500,NA,2,1,7,40,NA
2,34,40300,NA,1,2,4,30,1
3,50,5720,2,2,2,8,NA,NA
6,78,8840,NA,NA,2,9,NA,NA
2,35,11960,6,2,2,6,38,1
2,71,NA,NA,NA,1,9,NA,NA
2,29,16120,7,1,2,6,40,1
2,63,37700,0,2,2,2,NA,NA
2,78,17160,NA,NA,2,9,NA,NA
2,57,11960,NA,2,2,7,40,2
2,38,8840,NA,1,1,7,37,2
1,71,9880,NA,NA,2,9,NA,NA
6,83,NA,0,NA,NA,NA,NA,NA
1,18,NA,NA,NA,2,10,NA,NA
1,27,5720,15,2,2,7,NA,NA
4,66,10920,NA,1,2,7,NA,NA
6,61,5720,NA,NA,2,5,NA,NA
2,62,40300,NA,NA,1,10,NA,NA
2,59,27300,88,1,1,2,1,NA
6,82,9880,NA,1,1,6,NA,NA
1,75,NA,NA,NA,1,9,NA,NA
2,66,17160,NA,NA,2,9,NA,NA
1,23,1300,NA,2,2,7,NA,NA
6,77,NA,NA,2,2,8,NA,NA
6,72,7800,NA,2,2,8,NA,NA
6,85,NA,NA,2,2,7,NA,NA
2,53,32500,NA,NA,2,5,NA,2
6,90,5720,NA,2,2,4,NA,NA
5,65,11960,NA,1,1,7,NA,NA
2,69,35100,7,1,1,3,NA,NA
1,18,NA,NA,NA,2,10,NA,NA
2,63,20280,NA,NA,2,9,NA,NA
1,40,13000,NA,2,2,8,NA,NA
5,60,NA,NA,2,2,7,NA,NA
2,26,22100,NA,1,2,4,50,2
2,55,5720,NA,2,2,8,1,NA
6,58,20280,NA,1,2,8,NA,NA
2,30,9880,NA,2,2,7,35,NA
2,56,10920,NA,NA,2,5,38,2
6,81,22100,20,1,1,3,NA,NA
4,41,6760,NA,2,2,7,NA,NA
2,65,8840,NA,NA,1,9,1,2
1,25,9880,NA,NA,2,5,NA,NA
